"sales_date";"daily_revenue";"total_orders";"avg_order_value"
2010-03-10;359.99100000000004;1;359.99100000000004
2010-03-12;399.99;1;399.99
2010-03-15;399.99;1;399.99
2010-03-17;399.99;1;399.99
2010-03-18;399.99;1;399.99
2010-03-19;399.99;1;399.99
2010-03-21;399.99;1;399.99
2010-03-23;399.99;1;399.99
2010-03-24;399.99;1;399.99
2010-03-25;399.99;1;399.99
2010-03-29;799.98;2;399.99
2010-04-01;1159.971;3;386.657
2010-04-02;799.98;2;399.99
2010-04-03;399.99;1;399.99
2010-04-04;359.99100000000004;1;359.99100000000004
2010-04-05;399.99;1;399.99
2010-04-06;799.98;2;399.99
2010-04-07;799.98;2;399.99
2010-04-08;359.99100000000004;1;359.99100000000004
2010-04-09;759.981;2;379.9905
2010-04-10;759.981;2;379.9905
2010-04-11;1759.956;5;351.9912
2010-04-12;759.981;2;379.9905
2010-04-13;1479.963;4;369.99075
2010-04-14;799.98;2;399.99
2010-04-16;1479.963;4;369.99075
2010-04-17;399.99;1;399.99
2010-04-18;799.98;2;399.99
2010-04-19;719.9820000000001;2;359.99100000000004
2010-04-20;359.99100000000004;1;359.99100000000004
2010-04-21;359.99100000000004;1;359.99100000000004
2010-04-22;679.9830000000001;2;339.99150000000003
2010-04-23;319.992;1;319.992
2010-04-24;759.981;2;379.9905
2010-04-25;759.981;2;379.9905
2010-04-26;799.98;2;399.99
2010-04-27;1119.972;3;373.324
2010-04-28;399.99;1;399.99
2010-04-30;1159.971;3;386.657
2010-05-01;1159.971;3;386.657
2010-05-02;1159.971;3;386.657
2010-05-04;399.99;1;399.99
2010-05-05;399.99;1;399.99
2010-05-06;799.98;2;399.99
2010-05-07;1439.9640000000002;4;359.99100000000004
2010-05-08;1479.963;4;369.99075
2010-05-09;399.99;1;399.99
2010-05-10;2239.944;6;373.324
2010-05-11;759.981;2;379.9905
2010-05-12;679.9830000000001;2;339.99150000000003
2010-05-14;359.99100000000004;1;359.99100000000004
2010-05-15;359.99100000000004;1;359.99100000000004
2010-05-16;1839.954;5;367.9908
2010-05-17;1199.97;3;399.99
2010-05-18;399.99;1;399.99
2010-05-19;799.98;2;399.99
2010-05-20;1159.971;3;386.657
2010-05-21;1159.971;3;386.657
2010-05-22;719.982;2;359.991
2010-05-23;359.99100000000004;1;359.99100000000004
2010-05-24;319.992;1;319.992
2010-05-25;1479.963;4;369.99075
2010-05-26;719.9820000000001;2;359.99100000000004
2010-05-27;759.981;2;379.9905
2010-05-28;399.99;1;399.99
2010-05-29;1199.97;3;399.99
2010-05-30;3359.916;9;373.324
2010-05-31;359.99100000000004;1;359.99100000000004
2010-06-01;3399.915;9;377.7683333333333
2010-06-02;1119.972;3;373.324
