"state";"city";"total_sales";"total_revenue";"unique_customers"
;;4242;27817512.93799867;2982
DC;Washington;1115;7211615.175000111;793
NY;New York City;682;4844309.108000063;444
TX;Houston;662;4012994.1460000477;475
TX;El Paso;494;3915465.7800000324;353
CA;Sacramento;380;3421386.767000024;265
TX;San Antonio;322;3256747.314000013;223
GA;Atlanta;446;3075851.1290000253;300
TX;Dallas;436;3016611.179000011;319
CA;Los Angeles;373;2840496.7450000094;260
WA;Seattle;268;2566687.744000006;179
MO;Saint Louis;264;2440737.7640000037;168
NC;Charlotte;308;2423507.369000003;204
OK;Oklahoma City;282;2381342.6020000027;195
PA;Pittsburgh;269;2357677.7260000026;197
PA;Philadelphia;343;2352141.9940000037;235
MO;Kansas City;292;2311377.521000005;203
IL;Chicago;272;2204872.6589999995;195
VA;Richmond;231;2145613.0020000027;163
MN;Minneapolis;296;2032912.4569999983;207
CA;San Jose;246;2031567.9249999986;158
FL;Miami;311;2012762.2569999977;229
LA;New Orleans;222;1988383.1399999997;149
FL;Fort Lauderdale;171;1855948.6249999995;120
AL;Birmingham;267;1807002.6379999984;185
TX;Austin;293;1789957.401999998;197
TX;Amarillo;186;1769298.4519999982;135
AZ;Phoenix;264;1745857.6989999986;193
FL;Jacksonville;204;1739138.2599999995;152
NY;Buffalo;171;1718978.5779999986;117
TN;Memphis;260;1712742.707;178
CA;San Francisco;267;1701332.6489999986;173
MN;Saint Paul;162;1685593.639999999;126
CA;Fresno;213;1680908.200999999;149
NV;Las Vegas;273;1665292.582999999;199
FL;Orlando;212;1661228.1679999994;142
CA;San Diego;286;1650477.477999998;201
OH;Columbus;159;1624528.6829999993;114
CA;Pasadena;124;1623173.9969999995;87
IN;Indianapolis;226;1592953.0259999987;155
MA;Boston;177;1576648.496999999;130
KY;Lexington;171;1569958.5619999997;130
OH;Dayton;179;1564763.457999999;125
OH;Cincinnati;254;1545252.780999999;179
CO;Denver;243;1545212.8249999983;179
FL;Tampa;224;1535093.0469999986;161
OR;Portland;191;1448703.335999999;141
KY;Louisville;204;1438668.2409999988;142
TX;Fort Worth;164;1399093.5849999993;126
WV;Charleston;169;1372043.565999999;111
IN;Evansville;114;1332194.0599999998;82
CO;Colorado Springs;199;1324648.2809999986;140
UT;Salt Lake City;243;1317467.8409999989;174
WV;Huntington;153;1300548.6879999994;107
WI;Milwaukee;159;1292043.65;117
IN;Fort Wayne;137;1278418.8409999993;98
OK;Tulsa;230;1262517.9729999988;156
AZ;Tucson;181;1250638.4029999995;131
MI;Detroit;198;1193648.2319999996;137
KS;Wichita;122;1187123.9989999998;83
NY;Albany;181;1149718.4289999995;125
AL;Montgomery;152;1126353.7069999997;107
WI;Madison;134;1111053.8339999993;100
AL;Mobile;157;1109183.6279999989;107
NY;Jamaica;144;1093968.7729999998;97
LA;Baton Rouge;175;1069808.4349999994;121
KS;Topeka;157;1062413.6459999995;113
SC;Columbia;105;1054034.113;73
NY;Rochester;158;1049098.6129999994;114
FL;Pensacola;130;1027713.881;92
HI;Honolulu;141;1027448.7729999999;95
MI;Lansing;114;1022114.0319999998;74
NY;Brooklyn;223;1017673.0189999997;151
IA;Des Moines;185;986563.3569999995;137
VA;Arlington;122;968923.9459999996;82
FL;Clearwater;104;959184.1329999993;69
FL;Fort Myers;58;951009.5569999998;46
VA;Roanoke;164;939998.5889999993;114
TN;Nashville;163;931458.5529999996;117
MD;Baltimore;166;923048.5569999994;118
WA;Tacoma;155;913093.6159999996;102
IL;Springfield;161;904668.594;109
KS;Shawnee Mission;156;867323.6329999994;109
NM;Albuquerque;140;865198.7589999994;106
CA;Oakland;108;862424.0649999997;86
OH;Akron;106;861999.086;68
CA;Inglewood;62;855289.5109999999;43
ID;Boise;126;853448.8869999994;84
PA;Erie;109;853324.0539999998;83
NV;Reno;90;827039.2559999999;60
PA;Harrisburg;102;826729.1469999999;70
WA;Spokane;107;803209.0799999996;74
CT;Hartford;109;802734.0579999998;79
TX;Waco;64;791999.4929999998;42
MS;Jackson;116;773223.9849999995;79
