"dealership_id";"dealership_city";"dealership_state";"total_sales";"total_revenue";"salespeople_count";"revenue_per_salesperson"
18;Kansas City;MO;27835;204538656.07502812;19;10765192.42500148
10;Chicago;IL;24934;201149758.55801845;14;14367839.897001317
1;Millburn;NJ;24643;185056937.7510096;19;9739838.829000507
7;Arlington;VA;23745;168512868.94499758;15;11234191.262999838
5;San Mateo;CA;18126;161341672.90499127;19;8491666.994999541
2;Los Angeles;CA;18480;153985122.4959843;16;9624070.155999018
11;Atlanta;GA;19680;150721930.64997756;15;10048128.709998505
16;Charlotte;NC;15280;121987390.14397359;16;7624211.883998349
14;Round Rock;TX;11267;118874357.05198109;19;6256545.107999004
6;Seattle;WA;11298;104936169.80698435;21;4996960.466999255
3;Houston;TX;13232;101060766.31998238;16;6316297.894998899
19;Dallas;TX;10008;88918535.69999106;12;7409877.9749992555
17;Philadelphia;PA;8620;61729325.759999484;20;3086466.287999974
9;Reno;NV;7182;54333299.24999926;18;3018516.624999959
4;Miami;FL;5896;47194074.817999095;11;4290370.437999918
12;Orlando;FL;6149;46491281.913999036;11;4226480.173999912
15;Phoenix;AZ;5096;37583556.30399818;8;4697944.5379997725
8;Portland;OR;3416;21888829.801999584;14;1563487.8429999703
13;Jacksonville;FL;2088;18898092.117000073;9;2099788.013000008
20;Boston;MA;2528;18528898.44000021;8;2316112.3050000262
